Product,Consumer complaint narrative
Mortgage,"Called the servicer to inquire about why PMI had not dropped off the loan, was told I meet all three checkmarks for the requirement but received two notices stating not eligible."
"Credit reporting, credit repair services, or other personal consumer reports",on XX/XX/21 I mailed a dispute letter regarding inaccurate/unknown items on my consumer report. To this day I have not received a response. i feel my dispute has been ignored. Section 611 ( a ) plainly states that a fairly to investigate these items within 30 days gives a reason to immediately remove those items from my report. i demand these accounts be removed immediately or I will file for litigation due to the stress caused by inaccurate reporting. My info was also impacted by the XXXX  data breach and may have got into the hands of the wrong person.
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/20, I sent a letter regarding this inaccurate items on my credit report and not received a response yet. I feel that my dispute is being wrongfully ignored, and know request these accounts be deleted per 611 ( a ) failure to investigate these items within 30 days gives reason to remove these items from my credit report. If this issue is not corrected I will file for litigation. Additionally, my credit was impacted by the XXXX data breach."
Debt collection,"Twice I've disputed this account with Convergent Outsourcing and I still have received nothing at all from them! This is a violation of the FCRA! They are required by federal law, to send me the same information that they are reporting to the credit bureaus! I DEMAND JUSTICE! PLEASE HELP ME!"
"Credit reporting, credit repair services, or other personal consumer reports",i try to buy i car when dealer pull my credit show an account dont belongs to me i call credit accepttance corp talk to 4 different agent but not one were able to help also car XXXX  not luck as well
Debt collection,not original creditor account already has being move once for inaccurate information by a different company my credit score has drop over 40 points
"Credit reporting, credit repair services, or other personal consumer reports",This company which is XXXX  XXXX XXXX has report incorrect information with the credit bureau. I never signed a contract and they never sent me a bill. They went through a third party and that 3rd party put me on the credit bureau which is TransUnion. They were the ones that refer me to FTC.
Credit card or prepaid card,Refund my damages ASAP.
"Credit reporting, credit repair services, or other personal consumer reports",Ally Financial checked my XXXX XXXX more than once. They recorded XXXX hard inquiries when they shouldnt have.
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX XXXX XXXX XX/XX/2019 - This inquiry does not belong to me
Credit card or prepaid card,I was affected from Covid 19 pandemic. My XXXX  was temporarily closed. I am facing on financial hardship and depending on unemployment benefit. I have asked the Wells Fargo Bank to defer my credit card payment to XX/XX/2021. I am waiting for California Relief Grant to take care of it but the Wells Fargo Bank management ignored my inquires many times. See attached file.
"Credit reporting, credit repair services, or other personal consumer reports","I saw that Transunion is reporting an account with XXXX XXXX closed inXX/XX/2020 that I have no knowledge of. I have never been contacted by this collection company regarding any said account via XXXX. This company is reporting false debt balances, information, or re-aging ... or a combination of all and Transunion is illegally reporting false info and thus ruining my credit."
"Credit reporting, credit repair services, or other personal consumer reports",There was a chase credit card opened in my name and was maxed out. This activity is fraudulent and I need this to be taken care of in a timely manner. According to the FCRA any inaccurate accounts/information on my report are to be removed with the proper documentation. I have never opened a XXXX card. I need this to removed from my credit report because it is negatively impacting my credit score. This is unfair.
Debt collection,"I requested validation of debt and HIPPA authorization. 
Never received either of this requested documents. 
This company is listed on my credit report even though they never verified the debt. 
Please see attached letter I have sent them."
"Credit reporting, credit repair services, or other personal consumer reports","I HAVE CONTACTED TRANSUNION AND ASKED THEM NICELY TO REMOVE THE INQUIRES THAT WERE NOT AUTHORIZED BY ME NUMEROUS TIMES. I HAVE A TOTAL OF 9 INQUIRIES THAT NEED TO BE REMOVED IMMEDIATELY. I DID NOT AUTHORIZE THESE AND I HAVE NO ACCOUNT ASSOCIATED WITH THEM. NO CREDIT WAS OFFERED. HERE ARE THE FOLLOWING ACCOUNTS. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX AS YOU CAN SEE SOME OF THESE ARE ON HERE NUMEROUS TIME. I AM ASKING THAT THIS BE LOOKED INTO IMMEDIATELY. THANK YOU IN ADVANCE."
"Credit reporting, credit repair services, or other personal consumer reports","I applied for a mortgage refinance and received inaccurate reporting. Experian submitted to the mortgage company a credit score of XXXX. However, Experian shows a credit score on my report XXXX, which is accurate, This is causing me a great deal of problems. Please look into this Experian 's reporting, as something is harmfully wrong! By Experian reporting a XXXX score I was denied a mortgage refinance. 

Respectfully Requested, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, NY XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","There is an account that I paid and the collection agency agreed to remove XXXX / XXXX XXXX # XXXX your company has not removed and only updated the settlement payment which is NOT accurate and was NOT what was agreed upon. 

Please remove this remark ASAP"
Debt collection,Dispute and Appeal
"Credit reporting, credit repair services, or other personal consumer reports",From previous claim of dispute of my public record. Attachment proof from the court.
"Credit reporting, credit repair services, or other personal consumer reports",I called the three credit bureaus to try to update and remove old personal information on my account only to get nowhere. It seem like a hassle nowadays to get any help from them.
"Credit reporting, credit repair services, or other personal consumer reports",i reviewed my credit and seen these 3 accounts on my credit report that do not belong to me so i added a fraud alert and filed a FTC report and a identity theft victims complaint and affidavit so i can have these fraudulent accounts removed.
"Credit reporting, credit repair services, or other personal consumer reports","I requested validation for the bankruptcies dismissed appearing as public records in my file. The credit bureau stated they verified with US Bankruptcy courts. The US bankruptcy court informed they do not share or verify with bureau. 
Per Civil Case No. 3:15-CV-00443-MHL, James Jenkins , Et Al., v. Equifax Information Service , LLC, the source is unknown for their information on these bankruptcies and due to this, has violated the Fair Credit Reporting Act ( FCRA )."
"Credit reporting, credit repair services, or other personal consumer reports",Experian is showing paragon as something I owe. This is a medical debt. I can not owe a medical debt as I am a XXXX/XXXX member and that would be XXXX fraud to charge me for services outside of the insurance. I contacted experian about this and they refused to take it off of my report.
"Credit reporting, credit repair services, or other personal consumer reports","I have disputed XXXX XXXX XXXX  on my credit report as identity theft by mail, I sent all documentation as required ( Identity Theft Affidavit & Police Report ) more than 30 days ago, and they have not started the removal process or investigation.."
"Credit reporting, credit repair services, or other personal consumer reports",Ive reached out to experian and us department of education I have no known knowledge of this account it has been deleted off of XXXX and XXXX when I call experian they say theyve verified it I asked for a copy of verification for 3 months now with know response to it Ive filed a police report which was submitted to experian and us department of education please provide a verification documents to me as this is a fraud account
"Credit reporting, credit repair services, or other personal consumer reports","I have disputed XXXX XXXX XXXX  on my credit report as identity theft by mail, I sent all documentation as required ( Identity Theft Affidavit & Police Report ) more than 30 days ago, and they have not started the removal process or investigation.."
Debt collection,I reached out to this company regarding an fraudulent account that doesnt belong to me I am making a formal complaint to have this erased off of my credit as I am I victim of identity fraud this is reporting on my XXXX account as of now I reached out to this company and sent both a copy of police report
"Credit reporting, credit repair services, or other personal consumer reports","At this time, I respectfully request a copy of my Experian, XXXX  and XXXX XXXX credit report. I dont know why all of my written requests have been ignored, but it would be greatly appreciated if each credit reporting agency will mail out a copy of my credit report to XXXX XXXX, XXXX XXXX XXXX, XXXX, NJ XXXX. Your professional cooperation will be greatly appreciated. 
XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I reviewed my credit file and I noticed that there was several accounts showing that are not mine. Please remove the following accounts : The following accounts and incorrect personal information needs to be removed from my credit file : Incorrect Name Spelling - XXXX XXXX XXXX Incorrect Address : XXXX XXXX, XXXX XXXX, XXXX XXXXXXXX XXXX, XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX Bankruptcy Information - I never filed bankruptcy"
"Credit reporting, credit repair services, or other personal consumer reports","XXXX double reported a credit inquiry to Transunion on the same day. They have 2 inquiries on my credit report for XX/XX/2019. Of course, they just love running your credit 20 times when you purchase a car, because every time they submit an inquiry, it lowers your credit score, so by the time you make the actual purchase, your score plummets 100 points and oh my, now we have a higher interest rate, right? This needs to be fixed."
"Credit reporting, credit repair services, or other personal consumer reports",I have requested they provide proof that these items belong to me and no such proof was provided they are in multiple violations of the fair credit. My understanding is they have 4 days to block the fraudulent items on my credit report. They have failed to do so in that time frame. They have also failed to provide any proof of ownership for accounts circled in attached report.
"Credit reporting, credit repair services, or other personal consumer reports","I recently sent dispute to XXXX  XXXX regarding a late payment, they have yet to remove this information. This late payment should be removed immediately."
Debt collection,I disputed this account with Aargon last month and I have received nothing from them at all. this is a violation of the FDCPA and FCRA. They have to send me information if I request it as they are reporting on MY CREDIT. PLEASE HELP ME!
"Credit reporting, credit repair services, or other personal consumer reports","I did not consent to authorize nor benefit of of the student account and inquires in my consumer report. As a FEDERALLY PROTECTED consumer, a Natural person and a private individual, I demanded them to remove them from my consumer credit report IMMEDIATELY because their reporting is a violation of my rights pursuant to Title 15 Chapter 41. Pursuant to 1681a, I have the RIGHT to DEMAND that such information NOT be communicated/reported."
Credit card or prepaid card,I enrolled in an offer that stated I would receive 5 % back on online purchases made between XX/XX/2020 and XX/XX/2020. On XX/XX/2020 I purchased {$500.00} on XXXX. I expected to receive 5 % of {$500.00} which is {$25.00} but I only received {$7.00}. I have attempted to contact Citi regarding this issue. The customer service representative has reviewed my account and confirmed the discrepancy. The issue was escalated but I received a letter stating that no action was taken to resolve the discrepancy. I would like to receive a credit for the remainder in the amount of {$17.00}.
"Credit reporting, credit repair services, or other personal consumer reports",my identity was stolen and used to open credit without my knowledge. now it is ruined me i am doing this in hope to get all straighten out i can get my credit in order have been a victim of identity theft.
"Credit reporting, credit repair services, or other personal consumer reports",I HAVE ALERTED CRA THAT I HAVE REQUESTED VALIDATION FROM COLLECTION AGENCY AND THIS DOES NOT BELONG TO ME. ID WAS LOST AND THIS IS ID THEFT. THEY HAVE NOT VALIDATED ACCOUNT.
"Credit reporting, credit repair services, or other personal consumer reports",I HAVE ALERTED CRA THAT I HAVE REQUESTED VALIDATION FROM COLLECTION AGENCY AND THIS DOES NOT BELONG TO ME. ID WAS LOST AND THIS IS ID THEFT. THEY HAVE NOT VALIDATED ACCOUNT.
"Credit reporting, credit repair services, or other personal consumer reports",The credit bureaus are illegally reporting inaccurate information on my credit report.
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/XXXX, I mailed a letter requesting an investigation of inaccurate accounts on my credit report. I never received a response so on XX/XX/XXXX, I mailed another letter addressing that. Still no reponse, so I mailed another letter on XX/XX/XXXX. It is now the middle of XXXX and I am still being injured by these accounts. NO RESPONSE"
"Credit reporting, credit repair services, or other personal consumer reports","Ally Financial apparently did 2 credit inquiries within 10 days. I purchased a car on the XXXX. The car dealer apparently pulled my credit on the XXXX, then again on the XXXX and again on the XXXX. I already secured financing on the XXXX, there was no reason to pull my credit multiple times after I made the purchase. I did not authorize any credit inquiries on any day, other than the XXXX. Both of these inquiries need to be removed from my XXXX  credit report."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX apparently did 2 credit inquiries within 10 days. I purchased a car on the XXXX. The car dealer apparently pulled my credit on the XXXX, then again on the XXXX and again on the XXXX. I already secured financing on the XXXX, there was no reason to pull my credit multiple times after I made the purchase. I did not authorize any credit inquiries on any day, other than the XXXX. Both of these inquiries need to be removed from my Transunion credit report."
Debt collection,Information being reported to credit bureaus and attempting to collect debt without a HIPAA release of information form for my medical records from myself. They are violating federal law with out this form. I contacted them about it and then they attempted to get me to sign a release of information form after they have already received the collection account.
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX XXXX  XXXX  XXXX Balance {$800.00} This account has been transferred/sold, but. This account was involved in litigation and does not belong to me. I never established this account. This account was a result of fraud. I was contacted by a collection agency regarding the accounts that were obtained under my name. I have no knowledge of obtaining any of the account listed here and was told that I needed to complete an affidavit, along with submitting my personal identification to have the suspected fraudulent account investigated and removed immediately."
Debt collection,"Yes I have 7 emergency room visits because I did not no that I had XXXX  XXXX  XXXX. All 7 was picked up by ars account resolution company. This is destroying my credit. I had insurance for all 7 of these bills. Please have the company bill my insurance sooner care. XXXX  bless and thank you XXXX. 
XXXX XXXX XXXX XXXX XXXX XXXX. XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I Have Filed A Dispute In Regards To The Incorrect Item On My Credit Report, It Has Been Over 30 Days And I Haven't Received Any Investigation Results."
"Credit reporting, credit repair services, or other personal consumer reports","I have two problematic issues with my credit there are 2 inaccurate things on my credit. 

1. Aargon Agency shows on XXXX & XXXX that {$200.00} is owed. This is NOT my account. 
XXXX. XXXX XXXX shows on XXXX XXXX XXXX that {$480.00} this account goes away then pops back on to credit profile with a different account number."
Debt collection,Identity theft delete from my credit
"Credit reporting, credit repair services, or other personal consumer reports",A company is reporting twice ( for the same debt ) on my credit report. I tried disputing it ( both ) but theyre still in my credit report which is hurting me.
"Credit reporting, credit repair services, or other personal consumer reports",I have submitted my dispute letters over 30 days ago. The companies listed below have failed to respond and they are in violation according to 15 USC 1692. I did not give my written consent to disclose these things on my credit report according to 15 USC 1681 this is a violation. These accounts should be blocked and removed from my credit report. I have sent my FTC for these fradulents accounts.
Credit card or prepaid card,I have a Pennsylvania pua relia card from us bank. It has been locked since XX/XX/2020. Ive called customers service about 18 times and they say they cant help me and there is nothing I can do to speed it along. Ive also sent ID and selfie to there ID web page about 8 times and the card is still locked. I now have almost 4000.00 on there and haven t been able to use any of it for 2 months. This is the only income I have because I cant work because of covid.
"Credit reporting, credit repair services, or other personal consumer reports",I disputed several accounts with inaccurate information directly to the bureaus but they haven't neither sent any answer nor repair or delete the accounts as i demanded while disputing.
"Credit reporting, credit repair services, or other personal consumer reports","I submitted my paperwork, and I have submitted now a second time. There are wrong addresses, names, accounts, etc. 

Thank you, XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",I am a victim of identity theft and this is not my account.
"Credit reporting, credit repair services, or other personal consumer reports","I am writing all three credit reporting agencies directly, without any third-party representation. My email address and telephone numbers are accurate in case any agency such as XXXX, XXXX  and Trans Union desire to document my credibility. Accordingly, I am writing to state that I have tried on at least two occasions over the past few months to obtain a copy of my credit report from each respective credit reporting agencies. Please comply with my wishes and mail to me my one free annual copy of each credit report. Thank you for your assistance in this matter. 

XXXX XXXX"
Debt collection,"On XX/XX/2020 I paid a debt that went into collections with Aldous & Associates, the terms of this payment was pay for deletion. Aldous & Associates did not live up to their end of the agreement and did not report this agreement to the credit bureaus. I have called Aldous & Associates many times and they refuse to acknowledge the agreement. They now hang up the phone on me every time I call. They are rude and use misleading information and false promises to collect debts."
"Credit reporting, credit repair services, or other personal consumer reports",THERE ARE INQUIRIES THAT I DID NOT AUTHORIZED AND 2 NEGATIVE ACCOUNTS THAT ARE NOT MINE
"Credit reporting, credit repair services, or other personal consumer reports",I looked over my consumer report and I've notice several fraudulent inquiries reporting on my profile The following inquiries are Fraudulent TRANSUNION : XXXX XXXX  Inquiry date : XX/XX/XXXX XXXXXXXX XXXX Inquiry date : XX/XX/XXXX XXXX card Inquiry date : XX/XX/XXXXXXXX XXXX XXXX XXXXXXXX card Inquiry date : XX/XX/XXXX XXXX Inquiry date : XX/XX/XXXX US SM BUS ADMIN ODA Inquiry date : XX/XX/XXXX XXXX Inquiry date : XX/XX/XXXXXXXX XXXX
"Credit reporting, credit repair services, or other personal consumer reports","my information was stolen by some unknown person, and they used it to obtained credit, resulting in many delinquent debt and inquiries to be reported to my credit file. i have been very careful keeping my personal information secured and safe, i am shock to see this happened to me, i have been victimized"
Mortgage,XX/XX/2021 -- Made mortgage payment to US Bank via US Bank portal ( Bill Payments -- > Pay US Bank Account ) Payment was applied as a principal-only payment rather than as a monthly payment ; due date for monthly mortgage payment did not change. ( This event followed a number of administrative errors made by US Bank Home Mortgage following a mortgage refinance. )
"Credit reporting, credit repair services, or other personal consumer reports",Back in XX/XX/2020 I settled with Kay Jewelers and they were suppose to report to the credit bureau as a XXXX  balance they yet to do so. Since this has been misreported for months now I want this REMOVE NOW!!!! .. The promise on their part was not upheld like my was when I paid the settlement. They have had plenty of time to report to a XXXX  balance and have decided not to do.
Debt collection,"I am receiving phone calls of harassment, obscene, profane and threatening language from Radius Global Solutions LLC for an account # XXXX from XXXX XXXX XXXX XXXX for {$84.00} and thats not my account and is the result of identity theft. Radius Global Solutions is in complete violation of the Fair Debt Collection Practices Act ( FDCPA ) under Federal law."
Checking or savings account,my account have been close since XXXX since then have not get my funds from them and i did get an email from them saying my funds have send back to sba i call sba and they did tell me they have not received any money yet i dont know what to do anymore because i have a loan with sba that as interest on it pls help me thank you
"Credit reporting, credit repair services, or other personal consumer reports","I didn't authorized these inquiries on my credit profile. I reached out to the companies, they had no info on file or paper work or proof that I requested my credit report being ran for credit with their company. 

XXXX XXXX XXXX XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I have an auto loan with XXXX back in 2014, the vehicle was repossessed. In my credit report show, multiple entries cuz the account was sold to XXXX. I am eligible for restitution in the XXXX class action. Send letters to the credit bureau and XXXX and XXXX but didn't get any response from them. Negative reports are hurting me. Please help me follow up on them, and please have them remove the negative reports abt the auto loan. Thank you."
"Credit reporting, credit repair services, or other personal consumer reports","WRONG NAME REPORTED ON CREDIT FILE - XXXX XXXX and XXXX XXXX WRONG ADDRESS REPORTED ON CREDIT FILE - XXXX XXXX XXXX XXXX, NJ XXXX AND ( XXXX XXXX XXXX, GA XXXX ) ALSO ( XXXX XXXX XXXX XXXX XXXX XXXX, GA XXXX )"
Student loan,I have never applied for this loan. I would not get a student loan at this time in my life or apply for one.
Debt collection,"Got a call from "" XXXX XXXX '' XXXX Saying he was employed by "" XXXX XXXX '', and was representing "" XXXX XXXX XXXX '', he told me there was a law suit against me from wells fargo for an older account from 2008, spoke to wells fargo they told me they have not sold this account to any collections company. He knew my address, name, birth date, and last 4."
"Credit reporting, credit repair services, or other personal consumer reports",On XX/XX/21 I got an alert on my credit report for a company called CREDCO did an inquiry on my credit report. I have never heard of this company nor did I authorize. I called them and representative XXXX said she didnt see anything in her system under my name and social security number as to why it would be on there. This company is fraudulently gathering credit inquiries.
Debt collection,"i called the collection company they did not have my name correct or the address or the phone number. i told them the account is not more. they are reporting the account was open XX/XX/XXXX then when i called they said the account was back in XXXX. 
XX/XX/XXXX XXXX the compant name is i.c system they want me to pay they collection agency."
"Credit reporting, credit repair services, or other personal consumer reports","The checking account that I use to pay this credit card was compromised twice, where money was fraudulently stolen from my account. On each of these occasions I had to close the checking accounts. Payments from these accounts did not reach XXXX XXXX XXXX because of this. I have explained to them over the phone and in writing what happened. They refused to remove the late payments, that were out of my control, from my credit report. I am asking for help in getting this resolved."
Checking or savings account,Wells Fargo Bank will take inbound money transfers but will not allow outbound or have very small limits. They will do larger account transfer with a large fee
Checking or savings account,"Citi Bank fraudulent practices I opened Citi Bank account in response to Citi Bank Promotion to open certain account with certain deposit for {$700.00} reward. I met the terms : Citi Bank never paid the reward, withheld improperly {$30.00} fee for "" not providing social security number '' per Citi, then refunded {$8.00} out of {$30.00} and sent me a statement that I owe IRS {$11.00} earnings which they never paid to me either. 

I am trying to resolve fraudulent financial operations with with Citi Bank for almost 5 months now with no avail. 
Please help."
"Credit reporting, credit repair services, or other personal consumer reports","The information described in the report does not belong to me and is inaccurate. 

The credit bureaus failed to comply with the 30 day statue of limitations. 

Please remove all inaccurate and wrong information."
"Credit reporting, credit repair services, or other personal consumer reports",Late payments in XXXX and XX/XX/2020 contacted the three bureaus to remove payments
Debt collection,"Under the fair credit act, Its a violation of the collection practices act for a debt collector to refuse to send a validation notice or fail to respond to your verification letter - I sent letter on XX/XX/2021 VIA USPS certified mail. You can track this package using THIS tracking number. 

Usps tracking XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",on XX/XX/XXXX I submitted a dispute via certified mail to XXXX noting that inaccurate information was being reported on my credit report. I requested that all information in question be lawfully validated or removed. I received no validation or response. I then submitted a follow up dispute XX/XX/XXXX. Once again I received no validation or response.
Debt collection,It was reported on XX/XX/2021 for XXXX that I don't owe .And it has brought my credit score with all three credit reporting agency.
"Credit reporting, credit repair services, or other personal consumer reports","I Have Filed A Dispute In Regards To The Incorrect Item On My Credit Report, It Has Been Over 30 Days And I Haven't Received Any Investigation Results."
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX is furnishing false and derogatory information on my credit report. They're listing a past due balance of {$820.00} which includes an illegal interest rate of over 188 %. Predatory lending is entirely illegal in the state of Pennsylvania and this is double the original listed loan amount of {$480.00}.
Credit card or prepaid card,My funds are on hold with us bank ReliaCard after verifying my Identification over 5 times. I verified my identity with unemployment and now I have to continue to wait until they get around to verifying me. I submitted my identification again today and again they told me to wait 3-5 business days. Im going to be homeless if this continues. This is my last resort please help
"Credit reporting, credit repair services, or other personal consumer reports",Barclays Bank in Delaware received a copy of my credit report without consent out reason.
Checking or savings account,Barclays Bank online has locked my account and have now asked for all my account statements from other banks which I find very odd due to the fact that this is private information and those accounts are already linked to my savings account with them. XXXX XXXX XXXX.
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX is reporting the account attached incorrectly. The open date on XXXX and XXXX is XX/XX/2015 and on Transunion its XX/XX/2015. The past due amount on Transunion and XXXX is XXXX and on XXXX  its XXXX. On Transunion and XXXX it shows 120 days past due and on XXXX  it shows 90 days past due. If all of this information is produced from the same place and sent to all three bureaus why is it incorrect? I would like this account deleted from all three bureaus since nothing matches up.
"Credit reporting, credit repair services, or other personal consumer reports",I recently reviewed my credit profile and noticed inaccuracies and false extremely accusations
"Credit reporting, credit repair services, or other personal consumer reports",I disputed several inaccurate items to the credit bureaus but they haven't neither answered me nor fixed my credit report.
"Credit reporting, credit repair services, or other personal consumer reports",XXXX  was correctly reporting a 30 day late for XX/XX/XXXX from Wells Fargo and today they changed it to XX/XX/XXXX. This is incorrect. They need remove the late for XX/XX/XXXX and instead change it to XX/XX/XXXX. Attached is what Wells Fargo sent recently!
"Credit reporting, credit repair services, or other personal consumer reports",I have asked Experian several times to provide information on two separate accounts. Account # XXXX ... ... and Account # XXXX ... ... I asked that they supply information on how these accounts have been verified and have not gotten any responses from them.
"Credit reporting, credit repair services, or other personal consumer reports","XXXX of XXXX submitted a hard inquiry on my transunion credit report today, XX/XX/2021. I did not authorize them to check my credit, nor did I inquire about a car. They sent me a text message advising that I did. I advised that I did not. They stated that they had my info as part of a lead system. I did inquire about a car 2 years ago at which time they checked my credit. This hard inquiry is unwarranted and I want it removed from my credit."
Debt collection,XXXX my Digital lfie account n # XXXX I have not lived at XXXX XXXX XXXX in XXXX since XX/XX/2020 I only owed them {$49.00}. I tried to log into pay bill but was locked ou because new owners had taken ownerhsip. now they are saying I owe them {$160.00} and was sent fraduelently to collecitosn
Debt collection,"To Whom It May Concern : I've sent a letter to a collection agency to validate and verify a debt of a mount {$1000.00}. The US Postal Office was unable to verify the collection agency address : ALLTRAN EDUCATION INC XXXX XXXX XXXX XXXX XXXX, IL XXXX http : //alltran.com/ ( XXXX ) XXXX It appears to me someone was trying to collect a debt by using my name as a debtor. Will you please look into it?"
Debt collection,"Since XXXX, 2019, I have been asking this company for information verifying this debt, but all I keep receiving is a billing statement with phone numbers that I do not own. There are no verifying documentation given. The credit bureaus keep stating that the account has been verified, but I'm confused because I've gotten nothing from the creditor to verify this debt."
"Credit reporting, credit repair services, or other personal consumer reports","There is unknown hard inquiry on my credit reports. Im requested the verification of the inquiry and the method of verification. EXPERIAN BUSINESS CRED Inquiry Date XXXX XXXX, 2020. For the first time no response came in 15 days company did not provide the following proof : Permissible Purpose My written authorization Proof that I personally initiated these inquiry."
"Credit reporting, credit repair services, or other personal consumer reports","This delinquent account record is inaccurate because I dont recall making a payment late. Under the Fair Credit Reporting Act, I have the right to request method of verification of the creditor reporting the late payment. I request proof that I am indeed the party you are reporting the late payment for from the creditor validating the evidence of this late payment reporting. I am requesting that the account be corrected to show that it has always been current, with no record of being delinquent."
Debt collection,I am a victim of identity theft and this debt does not belong to me. Please see the identity theft report and legal affidavit attached.
Checking or savings account,"I have been able to resolve my 2 CD issues however they still are with holding 2 Ira that I was the benificary on. The account have already been change to me but they are saying he is still the owner. 
I have been working with XXXX XXXX XXXX to get the funds transferred there but they are getting no response as am I."
"Credit reporting, credit repair services, or other personal consumer reports","I have a few accounts on my credit report that do not belong to be, I was a college student and didnt take these loans out. An they are effecting my credit score and keeping me from some jobs and buying a home in the future."
"Credit reporting, credit repair services, or other personal consumer reports",I refinanced my home in XXXX. I have documentation from XXXX that my loan was paid in full and accepted on XX/XX/2020. Loan care which held my mortgage prior to the refinance sent a late payment notification to the credit bureaus dramatically effecting my credit score which prior to this had no negative marks. Please advise and assist. Thank you
Mortgage,"Lakeview Loan Servicing , LLC has granted covid relief and granted deferments. During this time frame they have also reported lates to the credit reporting agencies. I have made several disputes and this remains unchanged. If the business has agreed to offer extensions and no minimum payment is due, why are they reporting lates? I have 3 letters stating that during this time no payment is due."
Mortgage,"I would like my Mortgage Services SPS to consider giving me extension another 180 Days of forbearance. I am financially not recovered as Direct impact of XXXX. 
I received a letter from SPS That I shall resume my payment starting XX/XX/2021. 
The balloon payment is due XX/XX/2021."
Mortgage,I was approved for the down payment assistance program but now they have denied me and want to switch me out of the loan and start a new loan with higher interest and bigger down payment. They had sent me the confirmation that the down payment assistance and interesr rate was locked but they want to renege on their commitment bc market rates are going back up.
"Credit reporting, credit repair services, or other personal consumer reports","This request is in response to complaint # XXXX with FABCO. I never received a mailed validation letter validating this debt as you claim. Please forward me ( mail ) proof of this alleged item, specifically bearing the contract, note or other instrument bearing my signature. A bill, account ledger and payment history does not validate the debt. I demand that all references to this account is deleted and removed from my file."
Debt collection,its been over 30 days and the deadline has past This account is fraudulent activity i don't know where this account came from i need it remove ASAP if this account is not remove i will have to use legal actions
"Credit reporting, credit repair services, or other personal consumer reports","I DID NOT initiate these inquiries or give any form of consent electronically, in person, or over the phone. I am fully aware that without permissible purpose no entity is allowed to pull my consumer report unless otherwise noted in section 604 of FCRA."
Credit card or prepaid card,I see multiple 30-90 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
"Credit reporting, credit repair services, or other personal consumer reports",I filed a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I haven't received any investigation results.
"Credit reporting, credit repair services, or other personal consumer reports","I have called multiple times to Synchrony, emailed, etc. During a hard time where our country has been hit with a pandemic, I was advised by a customer service rep at this agent that under the customer assistance plan I was placed on, my credit would not be affected. However, this was not the case and even after writing to the CEO and speaking to customer relations, they are refusing to fix the incorrect reporting."
"Credit reporting, credit repair services, or other personal consumer reports","I Have Filed A Dispute In Regards To The Incorrect Item On My Credit Report, It Has Been Over 30 Days And I Haven't Received Any Investigation Results."
Credit card or prepaid card,"Recieved a XXXX  package with a USBankReliacard inside. Did not order this, nor does any of the packaging look reliable. The number on the back is not for a USBank. When you go to the website on the sheet it does have a place for "" if you recieved this card without requesting '' Then you have to input your information on the next page. I believe this is Fraud and possibly a way to steal my information. I have looked at my credit report and there is nothing on there that is Fraudulent."
Mortgage,"I am applying for a loan with Broker Solutions Inc., dba New American Funding, ph XXXX and they have increased my appraisal fee and discount points fee in the middle of the process ( started XXXX XXXX, 2021 ; closing is scheduled for XXXX XXXX, 2021 ). 
Discount points rose from {$510.00} to approx. {$1500.00}. 
Appraisal fee rose from {$490.00} to {$950.00}. 

Is this allowed by law? If not how can I challenge these fees?"
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/XXXX my bill for account SYNCB/TJX CO Opened XXXX XXXX, XXXX did not go through when it was on the auto-bill in the bank XXXX XXXX. I reached out to the company and they said that they saw the payment try to come out of the bank but it was rejected. They never notified me of the rejection and gave me this late payment."
Credit card or prepaid card,Ive had this card since XXXX. I have made on time payments and was near the end of paying off this card. Synchrony lowered my credit limit of {$1000.00} to {$250.00} which in turn increased my credit utilization with no substantial reason. My FICO score is current over a 700 with no delinquent accounts. This is a way trap people and mess up their credit.
